fecha,Ocupantes,Fallecidos,Decada,Supervivientes
1935-02-10,5,5,1970-01-01 00:00:00.000001930,0
1935-07-10,12,12,1970-01-01 00:00:00.000001930,0
1935-09-10,6,6,1970-01-01 00:00:00.000001930,0
1935-10-21,6,1,1970-01-01 00:00:00.000001930,5
1935-10-30,4,4,1970-01-01 00:00:00.000001930,0
1935-02-11,4,4,1970-01-01 00:00:00.000001930,0
1935-09-11,1,1,1970-01-01 00:00:00.000001930,0
1935-09-11,13,12,1970-01-01 00:00:00.000001930,1
1935-11-11,3,3,1970-01-01 00:00:00.000001930,0
1935-04-12,2,1,1970-01-01 00:00:00.000001930,1
1935-10-12,11,11,1970-01-01 00:00:00.000001930,0
1935-12-24,3,3,1970-01-01 00:00:00.000001930,0
1935-12-31,13,12,1970-01-01 00:00:00.000001930,1
1936-01-14,16,13,1970-01-01 00:00:00.000001930,3
1936-01-14,17,17,1970-01-01 00:00:00.000001930,0
1936-01-17,13,13,1970-01-01 00:00:00.000001930,0
1936-01-21,6,6,1970-01-01 00:00:00.000001930,0
1936-01-29,6,1,1970-01-01 00:00:00.000001930,5
1936-10-02,6,6,1970-01-01 00:00:00.000001930,0
1936-02-15,4,4,1970-01-01 00:00:00.000001930,0
1936-05-03,6,0,1970-01-01 00:00:00.000001930,6
1936-03-14,5,5,1970-01-01 00:00:00.000001930,0
1936-03-26,14,14,1970-01-01 00:00:00.000001930,0
1936-01-04,2,2,1970-01-01 00:00:00.000001930,0
1936-07-04,14,12,1970-01-01 00:00:00.000001930,2
1936-11-04,25,3,1970-01-01 00:00:00.000001930,22
1936-04-15,7,7,1970-01-01 00:00:00.000001930,0
1936-04-17,5,3,1970-01-01 00:00:00.000001930,2
1936-04-21,2,2,1970-01-01 00:00:00.000001930,0
1936-04-30,2,2,1970-01-01 00:00:00.000001930,0
1936-05-16,2,2,1970-01-01 00:00:00.000001930,0
1936-09-06,15,1,1970-01-01 00:00:00.000001930,14
1936-06-13,6,1,1970-01-01 00:00:00.000001930,5
1936-06-16,7,7,1970-01-01 00:00:00.000001930,0
1936-07-15,7,7,1970-01-01 00:00:00.000001930,0
1936-07-28,6,6,1970-01-01 00:00:00.000001930,0
1936-07-31,10,10,1970-01-01 00:00:00.000001930,0
1936-02-08,3,3,1970-01-01 00:00:00.000001930,0
1936-03-08,1,1,1970-01-01 00:00:00.000001930,0
1936-05-08,8,8,1970-01-01 00:00:00.000001930,0
1936-06-08,3,2,1970-01-01 00:00:00.000001930,1
1936-12-08,2,2,1970-01-01 00:00:00.000001930,0
1936-08-22,11,2,1970-01-01 00:00:00.000001930,9
1936-05-09,11,10,1970-01-01 00:00:00.000001930,1
1936-09-24,10,9,1970-01-01 00:00:00.000001930,1
1936-09-25,2,2,1970-01-01 00:00:00.000001930,0
1936-09-28,3,3,1970-01-01 00:00:00.000001930,0
1936-09-29,4,4,1970-01-01 00:00:00.000001930,0
1936-06-10,1,1,1970-01-01 00:00:00.000001930,0
1936-09-10,1,1,1970-01-01 00:00:00.000001930,0
1936-01-11,15,11,1970-01-01 00:00:00.000001930,4
1936-11-17,16,4,1970-01-01 00:00:00.000001930,12
1936-11-19,4,2,1970-01-01 00:00:00.000001930,2
1936-04-12,6,6,1970-01-01 00:00:00.000001930,0
1936-06-12,14,9,1970-01-01 00:00:00.000001930,5
1936-07-12,5,5,1970-01-01 00:00:00.000001930,0
1936-09-12,17,15,1970-01-01 00:00:00.000001930,2
1936-12-15,7,7,1970-01-01 00:00:00.000001930,0
1936-12-18,2,2,1970-01-01 00:00:00.000001930,0
1936-12-19,11,0,1970-01-01 00:00:00.000001930,11
1936-12-23,6,6,1970-01-01 00:00:00.000001930,0
1936-12-26,0,0,1970-01-01 00:00:00.000001930,0
1936-12-27,12,12,1970-01-01 00:00:00.000001930,0
1937-11-01,9,9,1970-01-01 00:00:00.000001930,0
1937-12-01,13,5,1970-01-01 00:00:00.000001930,8
1937-01-26,12,12,1970-01-01 00:00:00.000001930,0
1937-09-02,11,11,1970-01-01 00:00:00.000001930,0
1937-02-19,7,5,1970-01-01 00:00:00.000001930,2
